doctor_id,first_name,last_name,specialty,department_id,nationality,hire_date,license_number,email,phone,years_experience,is_active
1001,Youssef,Mohamed,Internist,8,Egyptian,03/03/2016,DHA-719176,youssef.mohamed@gmail.com,971514668136,9,TRUE
1002,Fadi,Ahmad,Radiologist,7,Jordanian,23/03/2022,DHA-106814,fadi_ahmad@yahoo.com,971543608513,3,TRUE
1003,Walid,Al Hiyari,Gastroenterologist,9,Jordanian,30/01/2012,DHA-377370,walid_alhiyari@icloud.com,971517350753,13,TRUE
1004,Anjali,Iyer,Spine Surgeon,3,Indian,10/02/2018,DHA-910620,anjali.iyer@ymail.com,971532694522,7,TRUE
1005,Fadi,Hassan,Trauma Surgeon,6,Jordanian,25/08/2013,DHA-816751,fadi.hassan@icloud.com,971529961380,12,TRUE
1006,Mahnoor,Butt,Neurosurgeon,2,Pakistani,21/01/2016,DHA-817870,mahnoor.butt@outlook.com,971506292423,9,TRUE
1007,Samir,Ibrahim,Electrophysiologist,1,Egyptian,21/01/2017,DHA-377746,samiribrahim@protonmail.com,971585408072,8,TRUE
1008,Nour,Al Tarawneh,Hematologist,5,Jordanian,16/12/2018,DHA-617488,dr.invalid@,971513564251,7,TRUE
1009,Majid,Al Ali,Hepatologist,9,UAE,18/05/2023,DHA-363626,majid.alali@protonmail.com,971515476583,2,TRUE
1010,Adel,Abdulla,Pediatric Surgeon,4,UAE,02/10/2019,DHA-376183,adelabdulla@icloud.com,971516007072,6,TRUE
1011,Iyad,Khalil,Emergency Physician,6,Jordanian,06/06/2013,DHA-100599,ikhalil@hotmail.com,971502876828,12,TRUE
1012,Mariam,Al Suwaidi,Gynecologist,11,UAE,16/05/2015,DHA-867460,mariam.alsuwaidi@ymail.com,971583109911,10,TRUE
1013,Salma,Youssef,Critical Care,6,Egyptian,14/09/2013,DHA-665492,salmayoussef@protonmail.com,971547693979,12,FALSE
1014,Suresh,Malhotra,Family Physician,8,Indian,10/08/2021,DHA-122056,suresh85@outlook.com,971594694634,4,TRUE
1015,Saeed,Al Suwaidi,Internist,8,UAE,19/02/2015,DHA-639131,salsuwaidi@protonmail.com,971574594297,10,TRUE
1016,Zara,Nair,Hospitalist,8,Indian,04/12/2022,DHA-198907,zara_nair@yahoo.com,971567897151,3,TRUE
1017,Alia,Al Nuaimi,Hospitalist,8,UAE,17/03/2012,DHA-360735,aliaalnuaimi@icloud.com,971573351868,13,TRUE
1018,Nisha,Kumar,Orthopedic Surgeon,3,Indian,10/09/2011,DHA-153045,nisha93@ymail.com,971502564689,14,TRUE
1019,Prakash,Patel,Pulmonologist,10,Indian,12/02/2019,DHA-272634,prakash.patel@hotmail.com,971548633773,6,TRUE
1020,Richard,Martinez,Hospitalist,8,British,19/06/2022,DHA-328275,richard17@protonmail.com,971582022698,3,TRUE
1021,Pooja,Patel,Electrophysiologist,1,Indian,10/09/2020,DHA-632496,poojapatel@gmail.com,971592140194,5,TRUE
1022,Adel,Mohamed,Orthopedic Surgeon,3,Egyptian,11/10/2022,DHA-539589,adel94@icloud.com,971586307805,3,TRUE
1023,Sherif,El Sayed,Spine Surgeon,3,Egyptian,17/01/2017,DHA-431535,sherif.elsayed@hotmail.com,,8,TRUE
1024,Sadia,Siddiqui,Sports Medicine,3,Pakistani,21/12/2012,DHA-398830,sadia_siddiqui@ymail.com,971586075395,13,TRUE
1025,Sara,Farouk,Dermatologist,12,Egyptian,10/06/2022,DHA-221035,sara23@outlook.com,971545727085,3,TRUE
1026,Amit,Singh,Internist,8,Indian,03/12/2015,DHA-765095,asingh@gmail.com,971506596150,10,TRUE
1027,Paul,Thompson,Family Physician,8,American,16/08/2013,DHA-110139,paul.thompson@protonmail.com,971521604451,12,TRUE
1028,Hani,Rashid,Radiologist,7,UAE,22/08/2019,DHA-141832,hanirashid@protonmail.com,971532724590,6,TRUE
1029,Faisal,Raza,Trauma Surgeon,6,Pakistani,20/06/2013,DHA-532322,faisalraza@protonmail.com,971557907400,12,TRUE
1030,Lina,Al Mazrouei,Pulmonologist,10,UAE,26/12/2015,DHA-593554,linaalmazrouei@ymail.com,971576866294,10,TRUE
1031,Saeed,Al Hosani,Gastroenterologist,9,UAE,01/01/2015,DHA-172792,salhosani@protonmail.com,971587705490,11,TRUE
1032,Hessa,Al Maktoum,Sleep Specialist,10,UAE,15/08/2010,DHA-378361,hessa.almaktoum@icloud.com,971566799667,15,TRUE
1033,Latifa,Al Hosani,Neonatologist,4,UAE,21/06/2021,DHA-146542,latifa.alhosani@icloud.com,971584305700,4,TRUE
1034,Linda,Martinez,Electrophysiologist,1,British,28/05/2017,DHA-631756,linda_martinez@yahoo.com,971565960271,8,TRUE
1035,Michelle,White,Stroke Specialist,2,British,03/07/2018,DHA-415568,michelle61@ymail.com,971506098175,7,TRUE
1036,Steven,Miller,Hematologist,5,British,10/08/2023,DHA-636004,stevenmiller@protonmail.com,971515761145,2,TRUE
1037,Shreya,Patel,Interventional Radiologist,7,Other,05/02/2012,DHA-945742,shreyapatel@gmail.com,971505107776,13,FALSE
1038,Muna,Hassan,Radiologist,7,Jordanian,19/03/2020,DHA-830180,muna_hassan@hotmail.com,971533475836,5,TRUE
1039,Huda,El Sayed,Cardiologist,1,Egyptian,15/07/2019,DHA-152657,hudaelsayed@ymail.com,971518658158,6,TRUE
1040,Sandra,Harris,Critical Care,6,British,15/07/2022,DHA-954596,sandra_harris@ymail.com,971588481188,3,TRUE
1041,Hossam,Hussein,Hepatologist,9,Egyptian,04/02/2020,DHA-757193,hhussein@hotmail.com,971515793722,5,TRUE
1042,Jamal,Al Shamsi,Neonatologist,99,UAE,23/10/2011,DHA-840734,jamal.alshamsi@hotmail.com,971566551268,14,TRUE
1043,Rana,Yousef,Medical Oncologist,5,Jordanian,04/06/2019,DHA-902784,rana_yousef@hotmail.com,971506901533,6,TRUE
1044,George,Davis,Radiation Oncologist,5,American,27/01/2022,DHA-611945,gdavis@hotmail.com,971571486955,3,TRUE
1045,Donna,Al Nuaimi,Family Physician,8,Other,14/09/2013,DHA-513160,donna85@protonmail.com,971502408404,12,TRUE
1046,Rashid,Al Muhairi,Neurosurgeon,2,UAE,28/01/2014,DHA-442722,rashid_almuhairi@yahoo.com,971565232413,11,TRUE
1047,Amna,Hassan,Critical Care,6,UAE,05/02/2022,DHA-171951,amna.hassan@ymail.com,971505148725,3,TRUE
1048,Salma,Al Blooshi,Cardiologist,1,UAE,09/05/2015,DHA-587623,salblooshi@ymail.com,971553815034,10,TRUE
1049,Ali,Mirza,Dermatologist,12,Pakistani,03/09/2013,DHA-703766,ali_mirza@hotmail.com,971532275009,12,TRUE
1050,George,Brown,Pulmonologist,10,British,14/04/2012,DHA-934904,george.brown@yahoo.com,971588186990,13,TRUE
1051,Tariq,Al Nuaimi,Electrophysiologist,1,UAE,27/08/2017,DHA-554582,tariq_alnuaimi@protonmail.com,971528306261,8,TRUE
1052,Ashley,Moore,Critical Care,6,British,22/01/2016,DHA-556732,amoore@yahoo.com,971532453962,9,TRUE
1053,James,Martin,Trauma Surgeon,6,British,13/10/2022,DHA-992288,jamesmartin@hotmail.com,971536952975,3,TRUE
1054,Sanjay,Singh,Neonatologist,4,Indian,13/03/2016,DHA-353080,sanjay_singh@icloud.com,971538987516,9,TRUE
1055,Amr,Nassar,Emergency Physician,6,Egyptian,02/02/2012,DHA-796212,anassar@hotmail.com,971589907391,13,TRUE
1056,Christopher,Davis,Cosmetic Dermatologist,12,American,22/11/2017,DHA-226516,cdavis@gmail.com,971584106298,-2,TRUE
1057,Saad,Hussain,Family Physician,8,Pakistani,23/03/2023,DHA-973074,shussain@outlook.com,971554010529,2,TRUE
1058,Abdullah,Khalifa,Internist,8,UAE,26/02/2016,DHA-232413,abdullah_khalifa@gmail.com,971505770422,9,TRUE
1059,Nour,Mohamed,Medical Oncologist,5,Egyptian,25/02/2011,DHA-520172,nour.mohamed@icloud.com,971503545556,14,TRUE
1060,Shahid,Butt,Trauma Surgeon,6,Pakistani,29/11/2011,DHA-913373,shahid_butt@hotmail.com,971575988757,14,TRUE
1061,Michael,Miller,Cosmetic Dermatologist,12,British,03/10/2022,DHA-755900,mmiller@protonmail.com,971513634980,3,TRUE
1062,Fatima,Al Zoubi,Emergency Physician,6,Jordanian,22/01/2010,DHA-134225,falzoubi@protonmail.com,971548617381,15,TRUE
1063,Margaret,Brown,Sports Medicine,3,British,25/03/2023,DHA-671015,margaretbrown@yahoo.com,971522198058,2,TRUE
1064,Zainab,Al Falasi,Hepatologist,9,UAE,07/11/2019,DHA-385470,zainab74@hotmail.com,971572349590,6,TRUE
1065,Thomas,White,Reproductive Endocrinologist,11,British,25/03/2017,DHA-715643,twhite@icloud.com,971503939212,8,TRUE
1066,Kamran,Ali,Family Physician,8,Pakistani,26/01/2014,DHA-592841,kamran_ali@yahoo.com,971552754894,11,TRUE
1067,Ghada,Ahmed,Neonatologist,4,Egyptian,10/02/2021,DHA-576919,gahmed@yahoo.com,971552944841,4,FALSE
1068,Paul,Johnson,Hematologist,5,British,10/01/2010,DHA-296694,pjohnson@icloud.com,971578416216,15,TRUE
1069,Kamran,Hussain,Spine Surgeon,3,Pakistani,09/12/2012,DHA-130271,kamran90@ymail.com,971533657144,13,TRUE
1070,Nour,El Sayed,Interventional Cardiologist,1,Egyptian,03/02/2012,DHA-223172,nourelsayed@hotmail.com,971549537455,13,TRUE
1071,Ali,Youssef,Radiation Oncologist,5,Egyptian,12/05/2017,DHA-728492,aliyoussef@ymail.com,971515634662,5,TRUE
1072,Sherif,Hussein,Sleep Specialist,10,Egyptian,22/05/2021,DHA-255813,sherif67@hotmail.com,971556577416,4,TRUE
1073,Priya,Williams,Trauma Surgeon,6,Other,21/03/2017,DHA-344907,priya.williams@yahoo.com,971577395997,8,TRUE
1074,Rohit,Ahmed,Hospitalist,8,Indian,31/05/2013,DHA-448121,rohit_ahmed@gmail.com,971588665981,12,TRUE
1075,Shaikha,Al Dhaheri,Stroke Specialist,2,UAE,18/06/2013,DHA-753534,shaikha_aldhaheri@protonmail.com,971516512415,12,TRUE
1076,Ashley,Thompson,Sleep Specialist,10,British,07/02/2017,DHA-137642,ashley.thompson@outlook.com,971544816586,8,TRUE
1077,Priya,Patel,Medical Oncologist,5,Indian,03/04/2012,DHA-440131,ppatel@yahoo.com,971558225725,13,TRUE
1078,Bassam,Al Falasi,Critical Care,6,UAE,15/01/2014,DHA-749813,bassamalfalasi@hotmail.com,971593401116,11,TRUE
1079,Sandra,Martinez,Family Physician,8,British,23/09/2015,DHA-810526,sandramartinez@gmail.com,971576797629,10,FALSE
1080,Prakash,Verma,Pediatric Surgeon,4,Indian,11/08/2015,DHA-211834,prakash_verma@icloud.com,971555963914,10,FALSE
1081,Ahmed,Hussein,Spine Surgeon,3,Egyptian,17/11/2018,DHA-973294,ahmedhussein@icloud.com,971554674286,7,TRUE
1082,Shreya,Martinez,Radiologist,7,Other,06/03/2012,DHA-134985,smartinez@protonmail.com,971522512187,13,TRUE
1083,Heba,Farouk,Pediatric Surgeon,4,Egyptian,09/12/2013,DHA-970813,hfarouk@ymail.com,971575951651,12,TRUE
1084,Hamza,Ansari,Pediatrician,4,Pakistani,03/07/2020,DHA-986827,hansari@gmail.com,971561233516,5,TRUE
1085,Nancy,Brown,Neurosurgeon,2,British,18/11/2015,DHA-807617,nancy_brown@gmail.com,971596503032,10,TRUE
1086,Robert,Al Muhairi,Orthopedic Surgeon,3,Other,31/05/2020,DHA-246566,robert.almuhairi@yahoo.com,971572948178,5,TRUE
1087,Nisha,Mehta,Obstetrician,11,Indian,19/09/2018,DHA-715870,nisha_mehta@protonmail.com,971519209880,7,TRUE
1088,Steven,Davis,Gynecologist,11,British,26/09/2010,DHA-997004,steven.davis@protonmail.com,971557017548,15,TRUE
1089,Ibrahim,Al Nahyan,Orthopedic Surgeon,3,UAE,14/03/2020,DHA-122394,ialnahyan@outlook.com,971524442778,5,TRUE
1090,Mona,Ibrahim,Gastroenterologist,9,Egyptian,25/02/2023,DHA-926952,mona.ibrahim@yahoo.com,971523180906,2,TRUE
1091,Rami,Al Zaabi,Gastroenterologist,9,UAE,31/07/2010,DHA-717457,rami.alzaabi@outlook.com,971541879109,15,TRUE
1092,Isha,Ahmed,Medical Oncologist,5,Indian,05/06/2011,DHA-214351,isha67@outlook.com,971591727544,14,TRUE
