staff_id,first_name,last_name,role,department_id,nationality,hire_date,shift,email,is_active
3001,Riya,Shah,Receptionist,12,Indian,2020-04-07,Rotating,riyashah@yahoo.com,True
3002,Maha,Al Shamsi,Registered Nurse,5,UAE,2021-03-16,Evening,maha_alshamsi@yahoo.com,True
3003,Divya,Verma,Case Manager,5,Indian,2023-07-24,Rotating,divya_verma@hotmail.com,True
3004,Kevin,Martin,Radiology Technician,9,American,2022-03-13,Evening,kevin.martin@ymail.com,True
3005,Fatima,Garcia,Lab Technician,11,Other,2017-08-05,Day,fatima.garcia@outlook.com,True
3006,Ritu,Verma,Patient Care Technician,1,Indian,2015-01-28,Night,ritu.verma@gmail.com,True
3007,Fatima,Al Ali,Occupational Therapist,3,UAE,2016-03-14,Evening,fatimaalali@outlook.com,True
3008,Nida,Ansari,Medical Assistant,6,Pakistani,2019-07-22,Night,nidaansari@yahoo.com,True
3009,Noura,Al Ketbi,Physical Therapist,7,Other,2019-03-25,Night,noura.alketbi@protonmail.com,True
3010,Saima,Hussain,Licensed Practical Nurse,4,Pakistani,2017-05-15,Evening,saima98@hotmail.com,True
3011,Pooja,Al Shamsi,Radiology Technician,6,Other,2015-03-06,Evening,poojaalshamsi@ymail.com,True
3012,Meera,Hassan,Pharmacy Technician,10,Other,2024-05-11,Rotating,meera96@yahoo.com,True
3013,Dana,Al Tarawneh,Respiratory Therapist,1,Jordanian,2016-02-05,Night,,True
3014,Fatima,Al Nuaimi,Billing Specialist,8,Other,2020-07-02,Day,fatima_alnuaimi@hotmail.com,True
3015,Shereen,Nassar,Pharmacy Technician,12,Egyptian,2015-10-29,Day,shereen_nassar@protonmail.com,True
3016,Dana,Al Nuaimi,Medical Assistant,1,UAE,2018-06-16,Night,dana.alnuaimi@outlook.com,True
3017,Isha,Mehta,Receptionist,1,Indian,2016-01-03,Day,isha21@icloud.com,True
3018,Robert,Williams,Medical Assistant,12,Other,2021-04-10,Evening,robert41@icloud.com,True
3019,Manoj,Rao,Patient Care Technician,3,Indian,2015-09-17,Day,manoj_rao@yahoo.com,True
3020,Hassan,Abdulla,Patient Care Technician,10,UAE,2021-11-30,Day,hassanabdulla@yahoo.com,True
3021,Sana,Malhotra,Unit Coordinator,6,Indian,2019-10-30,Rotating,sana93@outlook.com,True
3022,Rania,Saleh,Radiology Technician,7,Egyptian,2018-07-31,Day,rania_saleh@icloud.com,True
3023,Prakash,Kapoor,Receptionist,10,Indian,2017-03-29,Night,prakashkapoor@protonmail.com,True
3024,Zainab,Al Blooshi,Unit Coordinator,5,UAE,2024-04-27,Night,zainab_alblooshi@outlook.com,True
3025,Zainab,Al Qubaisi,Physical Therapist,2,UAE,2020-01-14,Evening,zainab71@hotmail.com,True
3026,Linda,Al Shamsi,Respiratory Therapist,12,Other,2024-02-10,Night,linda.alshamsi@gmail.com,True
3027,Lovely,Reyes,Physical Therapist,6,Filipino,2023-12-06,Night,lovely.reyes@yahoo.com,True
3028,Rania,Al Qudah,Unit Coordinator,6,Jordanian,2019-05-22,Night,rania96@protonmail.com,True
3029,Vikram,Joshi,Occupational Therapist,2,Indian,2016-04-20,Rotating,vjoshi@yahoo.com,True
3030,Nancy,Martin,Receptionist,8,British,2023-02-05,Night,nancy.martin@yahoo.com,True
3031,Bassam,Abdullah,Receptionist,55,Jordanian,2023-12-22,Day,bassam41@outlook.com,True
3032,Ananya,Iyer,Physical Therapist,11,Indian,2017-01-25,Day,ananya_iyer@hotmail.com,True
3033,Bassem,Abdelrahman,Physical Therapist,1,Egyptian,2022-11-26,Day,bassem.abdelrahman@icloud.com,True
3034,Naveen,Rashid,Unit Coordinator,2,Other,2017-12-10,Night,naveen72@protonmail.com,True
3035,Kavita,Kapoor,Respiratory Therapist,8,Indian,2021-12-03,Day,kkapoor@icloud.com,True
3036,Pedro,Lopez,Receptionist,3,Filipino,2019-03-10,Night,pedro_lopez@hotmail.com,True
3037,Rania,Mahmoud,Radiology Technician,8,Egyptian,2018-03-29,Day,rania_mahmoud@icloud.com,True
3038,Rahul,Nair,Physical Therapist,9,Indian,2020-09-01,Night,rahul_nair@hotmail.com,True
3039,Nikhil,Sharma,Pharmacy Technician,5,Indian,2015-05-14,Day,nsharma@outlook.com,True
3040,Rania,Ali,Receptionist,5,Egyptian,2023-09-10,Night,rania56@ymail.com,True
3041,Susan,Hernandez,Receptionist,12,British,2024-04-22,Night,shernandez@ymail.com,False
3042,Suresh,Shah,Receptionist,4,Indian,2017-05-09,Rotating,sshah@ymail.com,True
3043,Antonio,Torres,Pharmacist,1,Filipino,2021-05-24,Day,antonio45@icloud.com,True
3044,Rahul,White,Receptionist,3,Other,2023-05-31,Rotating,rwhite@ymail.com,True
3045,Yousef,Hassan,Case Manager,4,Jordanian,2023-07-16,Rotating,yousef_hassan@outlook.com,True
3046,Hala,Al Suwaidi,Medical Assistant,7,UAE,2020-10-12,Rotating,halsuwaidi@hotmail.com,False
3047,Suresh,Shah,Respiratory Therapist,2,Indian,2023-12-04,Night,suresh_shah@ymail.com,True
3048,Reem,Al Hashimi,Lab Technician,10,UAE,2024-07-23,Night,reem.alhashimi@gmail.com,True
3049,Linda,Garcia,nurse,8,British,2015-01-03,Evening,lindagarcia@protonmail.com,True
3050,Anil,Al Ketbi,Respiratory Therapist,5,Other,2015-12-04,Day,anilalketbi@gmail.com,True
3051,Divya,Mehta,Medical Assistant,12,Indian,2016-01-25,Day,divya.mehta@outlook.com,True
3052,Ayesha,Qureshi,Receptionist,7,Pakistani,2022-10-13,Day,ayeshaqureshi@hotmail.com,True
3053,Anthony,Martinez,Lab Technician,7,American,2023-09-04,Rotating,anthonymartinez@gmail.com,True
3054,Hala,Al Ketbi,Pharmacist,11,UAE,2023-05-23,Day,hala62@protonmail.com,True
3055,Noura,Saeed,Receptionist,10,UAE,2023-03-10,Day,nsaeed@ymail.com,True
3056,Sami,Al Nahyan,Administrative Assistant,12,UAE,2015-04-20,Rotating,salnahyan@outlook.com,True
3057,Rabia,Ahmed,Pharmacy Technician,8,Pakistani,2019-04-30,Day,rabia73@gmail.com,True
3058,Aisha,Al Ali,Physical Therapist,10,Other,2019-09-20,Day,aishaalali@ymail.com,True
3059,Youssef,Al Mazrouei,Billing Specialist,4,Other,2015-06-13,Evening,youssef60@yahoo.com,True
3060,Nadia,Ali,Lab Technician,5,Pakistani,2015-12-09,Day,nadiaali@ymail.com,True
3061,Sunita,Joshi,Occupational Therapist,12,Indian,2024-06-29,Day,sunita.joshi@hotmail.com,True
3062,Karim,Ali,Registered Nurse,12,Egyptian,2016-07-16,Rotating,karim_ali@yahoo.com,True
3063,Barbara,Taylor,Lab Technician,12,British,2023-10-05,Evening,barbara.taylor@yahoo.com,True
3064,Jamal,Al Maktoum,Medical Assistant,8,UAE,2020-02-08,Night,jamal_almaktoum@ymail.com,True
3065,Vikram,Ahmed,Receptionist,4,Indian,2023-04-23,Night,vikram.ahmed@outlook.com,True
3066,Pooja,Patel,Occupational Therapist,4,Indian,2018-08-11,Day,ppatel@ymail.com,True
3067,Anjali,Reddy,Pharmacy Technician,9,Indian,2015-07-08,Evening,anjali_reddy@ymail.com,True
3068,Christopher,Al Mazrouei,Respiratory Therapist,4,Other,2018-04-09,Night,christopher48@outlook.com,True
3069,Dina,Kamal,Lab Technician,1,Egyptian,2019-08-07,Day,dkamal@protonmail.com,True
3070,Fatima,Johnson,Administrative Assistant,2,Other,2017-04-20,Night,fatima_johnson@hotmail.com,False
3071,Anil,Al Ketbi,Licensed Practical Nurse,4,Other,2024-06-25,Night,aalketbi@hotmail.com,False
3072,Khalid,Hassan,Physical Therapist,2,UAE,2021-08-21,Night,khalidhassan@outlook.com,True
3073,Mary,Shah,Case Manager,8,Other,2018-01-18,Day,maryshah@ymail.com,True
3074,Majid,Al Muhairi,Case Manager,7,UAE,2016-05-09,Night,majid_almuhairi@yahoo.com,True
3075,Deepak,Al Kaabi,Pharmacist,6,Other,2016-08-30,Day,dalkaabi@hotmail.com,True
3076,Rafael,Santos,Physical Therapist,8,Filipino,2021-03-27,Rotating,rafael.santos@hotmail.com,True
3077,John,Davis,Lab Technician,4,American,2024-03-27,Day,john.davis@icloud.com,True
3078,Youssef,Rashid,Unit Coordinator,3,Other,2016-01-12,Evening,youssef.rashid@gmail.com,False
3079,Rania,Mohammed,Physical Therapist,8,UAE,2015-05-01,Day,raniamohammed@yahoo.com,True
3080,Hani,Al Shamsi,Licensed Practical Nurse,10,UAE,2021-12-11,Night,halshamsi@hotmail.com,True
3081,Hossam,Said,Lab Technician,7,Egyptian,2017-03-27,Night,hossamsaid@protonmail.com,False
3082,Tariq,Siddiqui,Patient Care Technician,9,Pakistani,2023-10-06,Night,tariq82@yahoo.com,True
3083,Hassan,Al Mansouri,Billing Specialist,1,UAE,2024-01-26,Evening,halmansouri@ymail.com,True
3084,Hassan,Ahmed,Pharmacy Technician,5,UAE,2020-12-25,Rotating,hassanahmed@icloud.com,True
3085,Barbara,Garcia,Pharmacy Technician,10,American,2018-07-26,Rotating,bgarcia@icloud.com,True
3086,Rania,Al Nasser,Pharmacist,8,Jordanian,2021-01-29,Day,rania.alnasser@gmail.com,True
3087,Nader,Hassan,Case Manager,10,Egyptian,2017-04-05,Rotating,naderhassan@ymail.com,True
3088,Nikhil,Gupta,Receptionist,9,Indian,2019-02-03,Evening,nikhil_gupta@icloud.com,True
3089,Anil,Mehta,Patient Care Technician,11,Indian,2018-07-23,Day,anil81@ymail.com,True
3090,Mary,Lopez,Administrative Assistant,3,Filipino,2016-12-28,Rotating,mary99@hotmail.com,True
3091,Barbara,Harris,Case Manager,10,British,2017-06-23,Night,barbara_harris@outlook.com,True
3092,Saeed,Al Kaabi,Medical Assistant,12,UAE,2022-07-07,Night,saeed_alkaabi@gmail.com,True
3093,Youssef,Rashid,Receptionist,12,UAE,2015-01-06,Day,youssef_rashid@outlook.com,True
3094,Mahnoor,Ansari,Receptionist,8,Pakistani,2023-11-05,Evening,mahnooransari@outlook.com,True
3095,James,Anderson,Billing Specialist,2,American,2015-10-31,Day,jamesanderson@protonmail.com,True
3096,Zara,Moore,Registered Nurse,7,Other,2022-05-01,Day,zaramoore@gmail.com,True
3097,Jamal,Al Hashimi,Billing Specialist,11,UAE,2018-02-27,Day,jamal.alhashimi@hotmail.com,True
3098,Rohit,Al Mansouri,Occupational Therapist,2,Other,2018-04-21,Rotating,rohit90@hotmail.com,True
3099,Abdullah,Al Suwaidi,Patient Care Technician,2,UAE,2018-06-17,Rotating,abdullah_alsuwaidi@protonmail.com,True
3100,Jennifer,Fernandez,Respiratory Therapist,3,Filipino,2019-12-31,Day,jennifer_fernandez@yahoo.com,True
3101,Walid,Khalifa,Receptionist,2,UAE,2022-06-29,Day,walid_khalifa@ymail.com,True
3102,Huda,Abdelrahman,Patient Care Technician,10,Egyptian,2017-08-23,Night,huda_abdelrahman@ymail.com,True
3103,Alishba,Malik,Receptionist,8,Pakistani,2016-12-09,Evening,alishbamalik@ymail.com,True
3104,Mustafa,Al Qubaisi,Pharmacist,11,UAE,2016-08-28,Rotating,malqubaisi@protonmail.com,True
3105,Lina,Al Hashimi,Case Manager,5,UAE,2020-10-29,Night,lina11@icloud.com,True
3106,Neha,Ahmed,Receptionist,2,Indian,2021-04-23,Rotating,neha46@yahoo.com,True
3107,Salma,Al Nahyan,Patient Care Technician,1,UAE,2016-12-06,Day,salma28@icloud.com,True
3108,Aisha,Iyer,Licensed Practical Nurse,12,Indian,2020-04-30,Evening,aisha.iyer@yahoo.com,True
3109,Vishal,Kumar,Pharmacy Technician,3,Indian,2018-05-15,Evening,vkumar@yahoo.com,True
3110,Samir,Youssef,Occupational Therapist,12,Egyptian,2020-06-07,Rotating,samir.youssef@icloud.com,True
3111,Lina,Al Shamsi,Registered Nurse,3,UAE,2017-02-28,Evening,lina.alshamsi@outlook.com,True
3112,Latifa,Al Hosani,Respiratory Therapist,8,UAE,2020-08-30,Day,latifa.alhosani@outlook.com,True
3113,Nader,Mostafa,Respiratory Therapist,3,Egyptian,2024-05-24,Evening,nader.mostafa@yahoo.com,True
3114,Shamsa,Al Blooshi,Pharmacy Technician,11,UAE,2017-07-11,Night,shamsa_alblooshi@icloud.com,True
3115,Mary,Martin,Lab Technician,11,British,2016-12-10,Night,marymartin@yahoo.com,True
3116,Pooja,Davis,Physical Therapist,6,Other,2020-02-24,Day,pdavis@protonmail.com,True
3117,Fatma,Mostafa,Administrative Assistant,5,Egyptian,2022-09-04,Day,fmostafa@yahoo.com,True
3118,Deepak,Saeed,Lab Technician,9,Other,2023-08-02,Day,deepak17@hotmail.com,True
3119,Faith,Lopez,Billing Specialist,7,Filipino,2019-07-16,Day,faith14@protonmail.com,False
3120,Thomas,Thompson,Patient Care Technician,11,American,2019-01-08,Night,thomas31@outlook.com,True
3121,Mahnoor,Raza,Case Manager,11,Pakistani,2016-01-01,Day,mraza@hotmail.com,True
3122,Manoj,Shah,Receptionist,8,Indian,2015-08-08,Evening,manoj84@icloud.com,True
3123,Swati,Kapoor,Occupational Therapist,1,Other,2024-07-30,Day,skapoor@hotmail.com,False
3124,Salma,Mehta,Radiology Technician,2,Other,2020-06-20,Day,smehta@protonmail.com,True
3125,Anil,Ahmed,Radiology Technician,8,Indian,2023-10-22,Rotating,anilahmed@icloud.com,True
3126,Riya,Chopra,Registered Nurse,1,Indian,2020-12-26,Day,riya.chopra@yahoo.com,True
3127,Ali,Butt,Pharmacy Technician,12,Pakistani,2018-11-11,Day,ali_butt@icloud.com,True
3128,Moza,Al Marri,Unit Coordinator,12,UAE,2020-11-01,Night,moza_almarri@protonmail.com,False
3129,Fatima,Nair,Radiology Technician,7,Indian,2015-03-20,Day,fatimanair@protonmail.com,True
3130,Hassan,Ansari,Billing Specialist,9,Pakistani,2021-12-27,Day,hassan.ansari@protonmail.com,True
3131,Majid,Al Falasi,Receptionist,9,UAE,2017-11-01,Night,majidalfalasi@protonmail.com,True
3132,Sara,Ahmed,Billing Specialist,10,UAE,2021-10-16,Rotating,sara.ahmed@icloud.com,True
3133,Omar,Al Shehhi,Pharmacist,10,UAE,2017-03-29,Rotating,omaralshehhi@yahoo.com,True
3134,Vishal,Nair,Patient Care Technician,6,Indian,2017-08-18,Day,vishal.nair@gmail.com,True
3135,Miguel,Morales,Medical Assistant,12,Filipino,2023-02-11,Day,miguelmorales@hotmail.com,False
3136,Kavita,Reddy,Licensed Practical Nurse,5,Indian,2019-01-15,Rotating,kavita_reddy@protonmail.com,True
3137,Aisha,Al Hashimi,Radiology Technician,6,Other,2019-01-04,Evening,aalhashimi@protonmail.com,True
3138,Mark,Thomas,Unit Coordinator,5,American,2024-05-16,Day,mark_thomas@protonmail.com,True
3139,Adel,Al Mazrouei,Radiology Technician,2,UAE,2019-09-01,Evening,adel71@protonmail.com,True
3140,Shereen,Hassan,Lab Technician,8,Egyptian,2020-06-22,Day,shereen_hassan@gmail.com,True
3141,Paul,Diaz,Pharmacy Technician,11,Filipino,2018-10-17,Night,paul98@gmail.com,True
3142,Salma,Al Nasser,Licensed Practical Nurse,1,Jordanian,2022-03-20,Evening,salma_alnasser@ymail.com,True
3143,Reem,Al Zaabi,Case Manager,5,UAE,2015-07-26,Night,reem_alzaabi@hotmail.com,True
3144,Salma,Al Muhairi,Medical Assistant,8,UAE,2020-01-06,Day,salma.almuhairi@gmail.com,True
3145,Hind,Al Suwaidi,Administrative Assistant,9,UAE,2021-04-22,Day,hind_alsuwaidi@yahoo.com,True
3146,Majid,Al Dhaheri,Patient Care Technician,12,UAE,2022-05-15,Day,majid.aldhaheri@gmail.com,True
3147,Ziad,Hassan,Administrative Assistant,9,UAE,2020-11-08,Day,ziad.hassan@outlook.com,True
3148,Jennifer,Al Qubaisi,Billing Specialist,10,Other,2017-03-13,Day,jenniferalqubaisi@hotmail.com,True
3149,Walid,Al Qubaisi,Licensed Practical Nurse,11,UAE,2024-05-23,Night,walid_alqubaisi@hotmail.com,True
3150,Paul,Al Mansouri,Licensed Practical Nurse,9,Other,2019-11-08,Rotating,paul71@ymail.com,False
3151,Maha,Mohammed,Lab Technician,2,UAE,2019-05-06,Night,mmohammed@icloud.com,True
3152,Divya,Rao,Physical Therapist,6,Indian,2018-04-19,Night,divyarao@hotmail.com,True
3153,Aisha,Sharma,Pharmacist,4,Other,2021-12-31,Rotating,asharma@protonmail.com,True
